1024648	77	496944
1655442	79	204613
1504320	80	550578
0887912	76	363222
1010048	80	696834
0477348	81	689190
0407887	85	974794
0375679	78	381921
0405159	81	535476
0167260	89	1348675
0299658	72	186835
0268978	82	692002
0172495	85	1094967
0169547	84	910999
0138097	72	188719
0120338	78	872386
0116209	74	154231
0112573	84	817525
0109830	88	1424550
0108052	89	970560
0105695	82	308328
0102926	86	1005186
0099348	80	203242
0097239	74	80557
0095953	80	412381
0093389	78	77356
0091763	81	321247
0089755	72	58159
0086879	83	303038
0086425	74	44724
0083987	81	189534
0082158	72	44787
0081283	78	38584
0079417	78	107744
0077416	82	257750
0075686	81	217098
0075148	81	424072
0073486	87	753459
0071562	90	889076
0070735	83	196114
0068646	92	1288729
0067116	78	90988
0066206	80	82627
0064665	79	83203
0063385	75	28172
0061811	80	55138
0060665	79	25703
0059742	80	163705
0058385	79	73367
0057590	67	9252
0056172	83	215577
0055614	76	79368
0053604	83	124489
0052618	81	180686
0051658	68	16222
0050212	82	166509
0048960	68	19986
0048356	77	17252
0047296	82	113326
0045793	77	36677
0044672	67	10457
0043278	72	24695
0042192	83	93652
0041113	76	10812
0040416	78	12849
0039416	74	12221
0036868	81	45186
0037884	80	27894
0036872	72	8382
0034583	85	429783
0035093	76	12798
0033729	78	17390
0032976	82	97836
0031381	82	238459
0030993	80	19419
0029146	73	5661
0027698	68	5721
0026752	78	17564
0025316	82	73450
0023876	60	3485
0022958	76	14264
0021746	60	4201
0020629	81	50214
0019729	62	5073
0018578	77	8876
